City,Lat,Humidity,Cloudiness,Max Temp,Wind Speed
ushuaia,-54.8,34,40,51.8,7.7
quatre cocos,-20.21,74,75,78.8,6.7
cape town,-33.93,36,0,80.01,4.1
sioux lookout,50.1,64,90,41.0,9.3
rio grande,-32.03,64,40,75.2,4.1
hilo,19.73,77,20,69.8,2.1
albany,42.6,88,100,37.99,2.94
zheleznodorozhnyy,55.75,60,99,42.8,6.0
banda aceh,5.56,79,43,81.0,2.0
meybod,32.25,33,75,71.6,3.1
nikolskoye,59.7,93,90,37.99,5.0
marawi,8.0,73,13,69.49,1.24
tiksi,71.69,90,98,8.74,2.42
busselton,-33.65,65,100,61.0,6.42
ponta do sol,32.67,58,0,64.99,2.24
pervomaysk,48.04,34,30,57.36,3.25
kodiak,57.79,86,1,37.4,3.1
saldanha,-33.01,18,29,89.6,4.1
ribeira grande,38.52,88,75,64.4,7.7
boende,-0.22,81,100,75.24,1.13
bredasdorp,-34.53,44,0,77.0,3.6
rikitea,-23.12,70,2,76.51,2.55
new norfolk,-42.78,82,88,46.0,0.45
saint-philippe,-21.36,83,7,77.0,10.8
chokurdakh,70.63,85,27,-13.5,2.62
kaitangata,-46.28,87,100,50.0,1.75
kamaishi,39.27,85,100,47.86,15.29
surandai,8.97,60,70,85.8,1.81
port alfred,-33.59,93,0,70.0,2.68
manggar,-2.88,76,97,81.95,1.86
mataura,-46.19,94,100,45.0,2.68
rocha,-34.48,59,0,70.23,3.3
torbay,47.67,51,75,39.0,8.7
maniitsoq,65.42,88,100,26.29,7.59
carnarvon,-24.87,88,75,77.0,5.1
coruripe,-10.13,66,21,84.85,2.87
tateyama,34.98,77,0,59.0,13.17
clyde river,70.47,92,90,14.0,3.6
tazovskiy,67.47,98,100,36.59,8.34
emerald,-23.53,88,40,75.2,2.1
avarua,-21.21,78,5,77.0,3.1
georgetown,5.41,88,20,86.0,2.6
punta arenas,-53.15,61,27,48.2,6.7
rio de janeiro,-22.9,78,75,78.8,1.5
sao filipe,14.9,72,1,71.22,10.8
nesbyen,60.57,43,0,43.0,3.13
los llanos de aridane,28.66,60,20,69.8,10.8
yar-sale,66.83,98,100,35.6,4.35
tilichiki,60.47,90,6,2.75,4.54
kargasok,59.06,61,97,46.29,6.09
lixourion,38.2,63,0,66.2,5.7
kapaa,22.08,73,1,73.4,6.7
jevargi,17.02,19,64,94.15,2.33
hermanus,-34.42,49,0,82.0,1.79
soe,-9.86,78,42,65.88,1.08
grand bend,43.32,82,43,44.01,4.02
jamestown,42.1,74,90,35.01,3.6
atuona,-9.8,76,38,81.99,6.04
oussouye,12.48,25,73,96.8,4.1
birjand,32.87,62,40,59.0,4.1
santa rosa,14.31,74,40,84.2,3.6
shimoda,34.67,80,16,57.0,1.34
lebu,-37.62,91,100,60.21,1.87
awjilah,29.11,15,0,82.38,4.48
airai,-8.93,58,90,60.84,1.1
kisangani,0.52,47,37,88.92,0.76
port elizabeth,-33.92,78,6,73.4,5.7
calama,-22.47,13,0,71.6,1.5
mahanoro,-19.9,80,13,76.75,3.68
aklavik,68.22,85,75,23.0,3.1
tshela,-4.98,88,100,79.21,1.93
weiser,44.25,55,1,50.0,2.1
saskylakh,71.92,84,0,8.35,2.5
butaritari,3.07,76,100,83.14,7.14
college,64.86,93,90,37.99,1.13
boli,45.77,48,0,49.84,1.58
ippy,6.27,32,81,91.29,0.51
port macquarie,-31.43,96,78,55.99,2.6
juneau,58.3,59,20,39.0,1.37
el tarra,8.58,49,79,87.6,1.16
naze,28.37,87,39,60.8,1.5
marugame,34.28,74,90,57.0,5.3
tobermory,45.25,68,1,41.0,2.68
hithadhoo,-0.6,73,99,84.49,6.26
mar del plata,-38.0,68,0,71.01,7.2
banska stiavnica,48.45,28,36,69.8,5.1
maceio,-9.67,66,75,87.8,2.1
atambua,-9.11,81,82,74.17,1.52
belmonte,-15.86,88,90,75.2,4.6
hobart,-42.88,81,90,46.99,1.5
virginia beach,36.85,93,90,54.0,8.7
kavieng,-2.57,76,99,82.42,1.48
beira,-19.84,74,20,82.4,5.7
qaanaaq,77.48,81,1,15.78,3.0
jardim,-21.48,42,51,79.79,2.28
anadyr,64.75,85,90,15.8,9.0
nabire,-3.37,87,99,77.85,0.73
meulaboh,4.14,76,100,81.19,0.58
claremore,36.31,56,1,52.0,1.5
lincoln,40.8,50,1,51.8,8.2
sinnamary,5.38,74,95,83.34,4.93
puerto ayora,-0.74,70,40,84.2,5.1
fort nelson,58.81,69,40,35.6,2.1
inhambane,-23.86,65,40,80.6,4.1
grants pass,42.44,75,1,48.99,0.44
shiloh,38.56,54,1,50.0,3.1
