City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,51.8,34,40,7.7,AR,1587224082
quatre cocos,-20.21,57.76,78.8,74,75,6.7,MU,1587224318
cape town,-33.93,18.42,80.01,36,0,4.1,ZA,1587223787
sioux lookout,50.1,-91.92,41.0,64,90,9.3,CA,1587224319
rio grande,-32.03,-52.1,75.2,64,40,4.1,BR,1587224290
hilo,19.73,-155.09,69.8,77,20,2.1,US,1587224065
albany,42.6,-73.97,37.99,88,100,2.94,US,1587224319
zheleznodorozhnyy,55.75,38.0,42.8,60,99,6.0,RU,1587224319
banda aceh,5.56,95.32,81.0,79,43,2.0,ID,1587224320
meybod,32.25,54.02,71.6,33,75,3.1,IR,1587224320
nikolskoye,59.7,30.79,37.99,93,90,5.0,RU,1587224320
marawi,8.0,124.29,69.49,73,13,1.24,PH,1587224320
tiksi,71.69,128.87,8.74,90,98,2.42,RU,1587224321
busselton,-33.65,115.33,61.0,65,100,6.42,AU,1587224321
ponta do sol,32.67,-17.1,64.99,58,0,2.24,PT,1587224321
pervomaysk,48.04,30.85,57.36,34,30,3.25,UA,1587224321
kodiak,57.79,-152.41,37.4,86,1,3.1,US,1587224322
saldanha,-33.01,17.94,89.6,18,29,4.1,ZA,1587224121
ribeira grande,38.52,-28.7,64.4,88,75,7.7,PT,1587224322
boende,-0.22,20.87,75.24,81,100,1.13,CD,1587224322
bredasdorp,-34.53,20.04,77.0,44,0,3.6,ZA,1587224322
rikitea,-23.12,-134.97,76.51,70,2,2.55,PF,1587224322
new norfolk,-42.78,147.06,46.0,82,88,0.45,AU,1587224323
saint-philippe,-21.36,55.77,77.0,83,7,10.8,RE,1587224323
chokurdakh,70.63,147.92,-13.5,85,27,2.62,RU,1587224323
kaitangata,-46.28,169.85,50.0,87,100,1.75,NZ,1587224324
kamaishi,39.27,141.88,47.86,85,100,15.29,JP,1587224324
surandai,8.97,77.4,85.8,60,70,1.81,IN,1587224324
port alfred,-33.59,26.89,70.0,93,0,2.68,ZA,1587224324
manggar,-2.88,108.27,81.95,76,97,1.86,ID,1587224325
mataura,-46.19,168.86,45.0,94,100,2.68,NZ,1587224325
rocha,-34.48,-54.33,70.23,59,0,3.3,UY,1587224325
torbay,47.67,-52.73,39.0,51,75,8.7,CA,1587224115
maniitsoq,65.42,-52.9,26.29,88,100,7.59,GL,1587224325
carnarvon,-24.87,113.63,77.0,88,75,5.1,AU,1587224326
coruripe,-10.13,-36.18,84.85,66,21,2.87,BR,1587224326
tateyama,34.98,139.87,59.0,77,0,13.17,JP,1587224326
clyde river,70.47,-68.59,14.0,92,90,3.6,CA,1587224326
tazovskiy,67.47,78.7,36.59,98,100,8.34,RU,1587224327
emerald,-23.53,148.17,75.2,88,40,2.1,AU,1587224327
avarua,-21.21,-159.78,77.0,78,5,3.1,CK,1587224327
georgetown,5.41,100.34,86.0,88,20,2.6,MY,1587224327
punta arenas,-53.15,-70.92,48.2,61,27,6.7,CL,1587224213
rio de janeiro,-22.9,-43.21,78.8,78,75,1.5,BR,1587223716
sao filipe,14.9,-24.5,71.22,72,1,10.8,CV,1587224328
nesbyen,60.57,9.1,43.0,43,0,3.13,NO,1587224328
los llanos de aridane,28.66,-17.92,69.8,60,20,10.8,ES,1587224329
yar-sale,66.83,70.83,35.6,98,100,4.35,RU,1587224329
tilichiki,60.47,166.1,2.75,90,6,4.54,RU,1587224329
kargasok,59.06,80.86,46.29,61,97,6.09,RU,1587224329
lixourion,38.2,20.43,66.2,63,0,5.7,GR,1587224330
kapaa,22.08,-159.32,73.4,73,1,6.7,US,1587224330
jevargi,17.02,76.77,94.15,19,64,2.33,IN,1587224330
hermanus,-34.42,19.23,82.0,49,0,1.79,ZA,1587224330
soe,-9.86,124.28,65.88,78,42,1.08,ID,1587224331
grand bend,43.32,-81.75,44.01,82,43,4.02,CA,1587224331
jamestown,42.1,-79.24,35.01,74,90,3.6,US,1587224331
atuona,-9.8,-139.03,81.99,76,38,6.04,PF,1587224331
oussouye,12.48,-16.55,96.8,25,73,4.1,SN,1587224332
birjand,32.87,59.22,59.0,62,40,4.1,IR,1587224332
santa rosa,14.31,121.11,84.2,74,40,3.6,PH,1587224148
shimoda,34.67,138.95,57.0,80,16,1.34,JP,1587224063
lebu,-37.62,-73.65,60.21,91,100,1.87,CL,1587224332
awjilah,29.11,21.29,82.38,15,0,4.48,LY,1587224333
airai,-8.93,125.41,60.84,58,90,1.1,TL,1587224333
kisangani,0.52,25.2,88.92,47,37,0.76,CD,1587224333
port elizabeth,-33.92,25.57,73.4,78,6,5.7,ZA,1587224333
calama,-22.47,-68.93,71.6,13,0,1.5,CL,1587224334
mahanoro,-19.9,48.8,76.75,80,13,3.68,MG,1587224334
aklavik,68.22,-135.01,23.0,85,75,3.1,CA,1587224334
tshela,-4.98,12.93,79.21,88,100,1.93,CD,1587224335
weiser,44.25,-116.97,50.0,55,1,2.1,US,1587224335
saskylakh,71.92,114.08,8.35,84,0,2.5,RU,1587224335
butaritari,3.07,172.79,83.14,76,100,7.14,KI,1587224335
college,64.86,-147.8,37.99,93,90,1.13,US,1587224336
boli,45.77,130.52,49.84,48,0,1.58,CN,1587224336
ippy,6.27,21.22,91.29,32,81,0.51,CF,1587224336
port macquarie,-31.43,152.92,55.99,96,78,2.6,AU,1587224336
juneau,58.3,-134.42,39.0,59,20,1.37,US,1587224294
el tarra,8.58,-73.09,87.6,49,79,1.16,CO,1587224337
naze,28.37,129.48,60.8,87,39,1.5,JP,1587224337
marugame,34.28,133.78,57.0,74,90,5.3,JP,1587224337
tobermory,45.25,-81.67,41.0,68,1,2.68,CA,1587224338
hithadhoo,-0.6,73.08,84.49,73,99,6.26,MV,1587224338
mar del plata,-38.0,-57.56,71.01,68,0,7.2,AR,1587224338
banska stiavnica,48.45,18.91,69.8,28,36,5.1,SK,1587224338
maceio,-9.67,-35.74,87.8,66,75,2.1,BR,1587224238
atambua,-9.11,124.89,74.17,81,82,1.52,ID,1587224339
belmonte,-15.86,-38.88,75.2,88,90,4.6,BR,1587224339
hobart,-42.88,147.33,46.99,81,90,1.5,AU,1587224188
virginia beach,36.85,-75.98,54.0,93,90,8.7,US,1587224139
kavieng,-2.57,150.8,82.42,76,99,1.48,PG,1587224340
beira,-19.84,34.84,82.4,74,20,5.7,MZ,1587224340
qaanaaq,77.48,-69.36,15.78,81,1,3.0,GL,1587224340
jardim,-21.48,-56.14,79.79,42,51,2.28,BR,1587224340
anadyr,64.75,177.48,15.8,85,90,9.0,RU,1587224340
